Name,Pos,Team,Overall,Season
Adrian Peterson,RB,MIN,1.7,2011
Ray Rice,RB,BAL,2.3,2011
Chris Johnson,RB,TEN,2.7,2011
Arian Foster,RB,HOU,4.2,2011
Jamaal Charles,RB,KC,5.3,2011
LeSean McCoy,RB,PHI,5.5,2011
Andre Johnson,WR,HOU,7.1,2011
Michael Vick,QB,PHI,8.9,2011
Roddy White,WR,ATL,9.9,2011
Calvin Johnson,WR,DET,11,2011
Maurice Jones-Drew,RB,JAX,11.3,2011
Darren McFadden,RB,LV,12.1,2011
Rashard Mendenhall,RB,PIT,12.1,2011
Larry Fitzgerald,WR,ARI,12.9,2011
Aaron Rodgers,QB,GB,13.5,2011
Hakeem Nicks,WR,NYG,17,2011
Vincent Jackson,WR,LAC,17.6,2011
Frank Gore,RB,SF,18.4,2011
Matt Forte,RB,CHI,18.4,2011
Greg Jennings,WR,GB,21.2,2011
Steven Jackson,RB,LA,21.2,2011
Michael Turner,RB,ATL,22.3,2011
Mike Wallace,WR,PIT,23.4,2011
Tom Brady,QB,NE,23.5,2011
Miles Austin,WR,DAL,25.7,2011
Peyton Hillis,RB,CLE,26.2,2011
Philip Rivers,QB,LAC,27.1,2011
Reggie Wayne,WR,IND,28.3,2011
Felix Jones,RB,DAL,28.3,2011
LeGarrette Blount,RB,TB,30.8,2011
DeSean Jackson,WR,PHI,31.1,2011
Wes Welker,WR,NE,32.3,2011
Drew Brees,QB,NO,33.5,2011
Jahvid Best,RB,DET,33.7,2011
Brandon Marshall,WR,MIA,34.1,2011
Ahmad Bradshaw,RB,NYG,34.4,2011
Antonio Gates,TE,LAC,37.9,2011
Dwayne Bowe,WR,KC,38.8,2011
Shonn Greene,RB,NYJ,39.4,2011
Dez Bryant,WR,DAL,39.8,2011
Jermichael Finley,TE,GB,42.9,2011
DeAngelo Williams,RB,CAR,43.9,2011
Jason Witten,TE,DAL,45.5,2011
Brandon Lloyd,WR,LA,46.3,2011
Knowshon Moreno,RB,DEN,46.6,2011
Tony Romo,QB,DAL,47.6,2011
Steve Johnson,WR,None,47.9,2011
Mark Ingram,RB,NO,48.7,2011
Santonio Holmes,WR,NYJ,49.5,2011
Ryan Mathews,RB,LAC,52.1,2011
Marques Colston,WR,NO,52.2,2011
Anquan Boldin,WR,BAL,52.8,2011
Tim Hightower,RB,WAS,53.5,2011
Dallas Clark,TE,IND,54.2,2011
Mario Manningham,WR,NYG,54.3,2011
Beanie Wells,RB,ARI,56.8,2011
Vernon Davis,TE,SF,57,2011
Ryan Grant,RB,GB,62.1,2011
Jeremy Maclin,WR,PHI,62.4,2011
Matt Schaub,QB,HOU,62.4,2011
Chad Johnson,WR,NE,62.9,2011
Owen Daniels,TE,HOU,64.5,2011
Jimmy Graham,TE,NO,64.8,2011
Kenny Britt,WR,TEN,64.9,2011
Reggie Bush,RB,MIA,66.4,2011
Cedric Benson,RB,CIN,66.9,2011
Matt Ryan,QB,ATL,67,2011
Ben Roethlisberger,QB,PIT,69.7,2011
Peyton Manning,QB,IND,69.7,2011
Danny Amendola,WR,LA,71.7,2011
BenJarvus Green-Ellis,RB,NE,73.5,2011
Julio Jones,WR,ATL,73.5,2011
Santana Moss,WR,WAS,75.8,2011
Joseph Addai,RB,IND,77.4,2011
Austin Collie,WR,IND,78.1,2011
Marshawn Lynch,RB,SEA,78.5,2011
Matthew Stafford,QB,DET,79.1,2011
Mike Tolbert,RB,LAC,79.4,2011
Tony Gonzalez,TE,ATL,82.6,2011
Plaxico Burress,WR,NYJ,83.6,2011
Mike Thomas,WR,JAX,85.5,2011
Daniel Thomas,RB,MIA,87.2,2011
Sidney Rice,WR,SEA,88.1,2011
Pittsburgh Defense,DST,PIT,88.3,2011
Kellen Winslow,TE,TB,89.3,2011
Malcom Floyd,WR,LAC,89.9,2011
James Starks,RB,GB,90.1,2011
Brandon Jacobs,RB,NYG,90.5,2011
Josh Freeman,QB,TB,92.3,2011
Lance Moore,WR,NO,92.9,2011
Pierre Garcon,WR,IND,93.5,2011
Mike Sims-Walker,WR,FA,93.9,2011
Green Bay Defense,DST,GB,94.5,2011
Jonathan Stewart,RB,CAR,96.1,2011
A.J. Green,WR,CIN,96.7,2011
Pierre Thomas,RB,NO,98.5,2011
Philadelphia Defense,DST,PHI,98.8,2011
Sam Bradford,QB,LA,99.1,2011
C.J. Spiller,RB,None,101.5,2011
Steve Smith,WR,CAR,102.5,2011
NY Jets Defense,DST,NYJ,102.5,2011
Ben Tate,RB,HOU,103.2,2011
Eli Manning,QB,NYG,103.9,2011
Nate Burleson,WR,DET,104,2011
Danny Woodhead,RB,NE,105.2,2011
Hines Ward,WR,PIT,106.7,2011
Marcedes Lewis,TE,JAX,108.4,2011
Johnny Knox,WR,CHI,109,2011
Davone Bess,WR,MIA,109.3,2011
Willis McGahee,RB,DEN,110.7,2011
Baltimore Defense,DST,BAL,111,2011
New England Defense,DST,NE,112,2011
Michael Bush,RB,LV,112.2,2011
Joe Flacco,QB,BAL,112.4,2011
Kevin Kolb,QB,ARI,112.7,2011
Lee Evans,WR,BAL,113.1,2011
LaDainian Tomlinson,RB,NYJ,115.1,2011
Brandon Pettigrew,TE,DET,116.7,2011
Donald Driver,WR,GB,117.2,2011
Rob Gronkowski,TE,NE,119,2011
Braylon Edwards,WR,SF,119.5,2011
Jordy Nelson,WR,GB,120,2011
Michael Crabtree,WR,SF,122.8,2011
Antonio Brown,WR,PIT,123.2,2011
Robert Meachem,WR,NO,123.9,2011
Jacoby Ford,WR,LV,124.4,2011
Aaron Hernandez,TE,NE,125.1,2011
Darren Sproles,RB,NO,126.1,2011
Matt Cassel,QB,KC,126.8,2011
Ryan Torain,RB,WAS,128.6,2011
Jay Cutler,QB,CHI,129.2,2011
Roy Helu,RB,WAS,131.8,2011
New Orleans Defense,DST,NO,132.6,2011
Kyle Orton,QB,DEN,134.9,2011
Greg Olsen,TE,CAR,135.4,2011
Steve Breaston,WR,KC,135.4,2011
Roy Williams,WR,CHI,135.9,2011
Ronnie Brown,RB,DET,136.7,2011
Chicago Defense,DST,CHI,136.8,2011
Greg Little,WR,CLE,136.9,2011
Emmanuel Sanders,WR,PIT,137.8,2011
Donovan McNabb,QB,MIN,138.2,2011
Lance Kendricks,TE,LA,138.4,2011
Jared Cook,TE,TEN,139.1,2011
Delone Carter,RB,IND,139.4,2011
Montario Hardesty,RB,CLE,140.8,2011
Jerome Harrison,RB,PHI,141.6,2011
Brent Celek,TE,PHI,142.4,2011
Mark Sanchez,QB,NYJ,143.2,2011
Zach Miller,TE,SEA,146.4,2011
Deion Branch,WR,NE,146.5,2011
Danario Alexander,WR,LA,147.3,2011
NY Giants Defense,DST,NYG,149.5,2011
Chris Cooley,TE,WAS,150.3,2011
Colt McCoy,QB,CLE,150.9,2011
James Jones,WR,GB,151.3,2011
Cam Newton,QB,CAR,151.5,2011
Earl Bennett,WR,CHI,151.9,2011
Dustin Keller,TE,NYJ,153.5,2011
Nate Kaeding,K,LAC,153.8,2011
Steve Smith,WR,PHI,154.1,2011
San Francisco Defense,DST,SF,154.2,2011
LA Chargers Defense,DST,LAC,154.6,2011
Dexter McCluster,WR,KC,154.7,2011
Thomas Jones,RB,KC,154.8,2011
Mike Williams,WR,SEA,156,2011
Deji Karim,RB,JAX,156.8,2011
Detroit Defense,DST,DET,156.8,2011
Atlanta Defense,DST,ATL,157.2,2011
Javon Ringer,RB,TEN,157.3,2011
Devin Hester,WR,CHI,157.7,2011
Bernard Berrian,WR,MIN,157.9,2011
Tashard Choice,RB,DAL,158.3,2011
Sebastian Janikowski,K,LV,159,2011
Marion Barber,RB,CHI,159.2,2011
Visanthe Shiancoe,TE,MIN,160.4,2011
Mason Crosby,K,GB,161.5,2011
Dallas Defense,DST,DAL,163,2011
Alex Henery,K,PHI,164.4,2011
Kendall Hunter,RB,SF,165.2,2011
Neil Rackers,K,HOU,165.4,2011
Stephen Gostkowski,K,NE,167.2,2011
Josh Brown,K,LA,168.2,2011
Matt Bryant,K,ATL,170.2,2011
Arian Foster,RB,HOU,1.4,2012
Ray Rice,RB,BAL,1.9,2012
Aaron Rodgers,QB,GB,3.4,2012
Calvin Johnson,WR,DET,4.8,2012
LeSean McCoy,RB,PHI,4.8,2012
Tom Brady,QB,NE,6.1,2012
Darren McFadden,RB,LV,6.4,2012
Chris Johnson,RB,TEN,8.1,2012
Matt Forte,RB,CHI,10.2,2012
DeMarco Murray,RB,DAL,11.2,2012
Drew Brees,QB,NO,12.3,2012
Julio Jones,WR,ATL,14.3,2012
Maurice Jones-Drew,RB,JAX,14.4,2012
Jamaal Charles,RB,KC,16.1,2012
Rob Gronkowski,TE,NE,16.5,2012
Ryan Mathews,RB,LAC,19.9,2012
Larry Fitzgerald,WR,ARI,20.8,2012
Steven Jackson,RB,ATL,21.1,2012
Brandon Marshall,WR,CHI,22.3,2012
Matthew Stafford,QB,DET,22.7,2012
Doug Martin,RB,TB,22.9,2012
Darren Sproles,RB,NO,24.5,2012
Trent Richardson,RB,CLE,26.1,2012
A.J. Green,WR,CIN,26.2,2012
Cam Newton,QB,CAR,27,2012
Andre Johnson,WR,HOU,27.1,2012
Roddy White,WR,ATL,30.2,2012
Greg Jennings,WR,MIN,30.8,2012
Wes Welker,WR,DEN,31.8,2012
Victor Cruz,WR,NYG,33.8,2012
Ahmad Bradshaw,RB,FA,34.4,2012
Jordy Nelson,WR,GB,38.9,2012
Hakeem Nicks,WR,NYG,40.9,2012
Reggie Bush,RB,DET,41.7,2012
BenJarvus Green-Ellis,RB,CIN,42.7,2012
Dez Bryant,WR,DAL,44.4,2012
Matt Ryan,QB,ATL,46.4,2012
Antonio Brown,WR,PIT,47.4,2012
Marques Colston,WR,NO,49.6,2012
Eric Decker,WR,DEN,53.5,2012
Steve Smith,WR,CAR,54.2,2012
Peyton Hillis,RB,KC,54.7,2012
Donald Brown,RB,IND,54.9,2012
Michael Vick,QB,PHI,55.2,2012
Eli Manning,QB,NYG,57.3,2012
Brandon Lloyd,WR,FA,58,2012
Shonn Greene,RB,TEN,59.6,2012
Mike Wallace,WR,MIA,60.1,2012
DeSean Jackson,WR,PHI,64.8,2012
Kevin Smith,RB,DET,65.5,2012
Demaryius Thomas,WR,DEN,65.7,2012
Peyton Manning,QB,DEN,67.5,2012
Torrey Smith,WR,BAL,68.1,2012
Jeremy Maclin,WR,PHI,71.6,2012
Dwayne Bowe,WR,KC,71.7,2012
Ryan Williams,RB,ARI,72,2012
Tony Romo,QB,DAL,72.9,2012
Jason Witten,TE,DAL,74.9,2012
Steve Johnson,WR,None,75.4,2012
Vincent Jackson,WR,TB,78.6,2012
Michael Bush,RB,CHI,79.7,2012
Fred Davis,TE,WAS,81.7,2012
Miles Austin,WR,DAL,82.6,2012
Philip Rivers,QB,LAC,82.7,2012
C.J. Spiller,RB,None,84.8,2012
Reggie Wayne,WR,IND,85.6,2012
Jonathan Stewart,RB,CAR,85.7,2012
Pierre Garcon,WR,WAS,86.5,2012
Tony Gonzalez,TE,ATL,87.6,2012
Kenny Britt,WR,TEN,89.6,2012
Jay Cutler,QB,CHI,90.3,2012
Jacquizz Rodgers,RB,ATL,91.7,2012
Toby Gerhart,RB,MIN,96.8,2012
Rashard Mendenhall,RB,ARI,101.3,2012
Robert Griffin III,QB,WAS,101.8,2012
Greg Olsen,TE,CAR,102,2012
Jacob Tamme,TE,DEN,105.9,2012
Nate Washington,WR,TEN,110.8,2012
Lance Moore,WR,NO,113.2,2012
Danny Amendola,WR,NE,117.7,2012
Jonathan Dwyer,RB,PIT,118.9,2012
Jermaine Gresham,TE,CIN,119.9,2012
Evan Royster,RB,WAS,120.4,2012
Robert Turbin,RB,SEA,124.4,2012
Brandon LaFell,WR,CAR,132.4,2012
Kyle Rudolph,TE,MIN,132.8,2012
Josh Freeman,QB,TB,141.1,2012
Greg Little,WR,CLE,145,2012
Brent Celek,TE,PHI,152,2012
Shane Vereen,RB,NE,152.8,2012
Buffalo Defense,DST,BUF,156.9,2012
Adrian Peterson,RB,MIN,1.2,2013
Jamaal Charles,RB,KC,3.2,2013
Doug Martin,RB,TB,3.6,2013
Arian Foster,RB,HOU,3.8,2013
Calvin Johnson,WR,DET,5.6,2013
C.J. Spiller,RB,None,6.3,2013
Ray Rice,RB,BAL,7.4,2013
Marshawn Lynch,RB,SEA,7.6,2013
LeSean McCoy,RB,PHI,8.2,2013
Trent Richardson,RB,IND,8.3,2013
Alfred Morris,RB,WAS,12.5,2013
Matt Forte,RB,CHI,12.7,2013
Dez Bryant,WR,DAL,13.7,2013
Jimmy Graham,TE,NO,14.3,2013
Chris Johnson,RB,NYJ,15.5,2013
Steven Jackson,RB,ATL,16,2013
A.J. Green,WR,CIN,17.2,2013
Reggie Bush,RB,DET,17.5,2013
Brandon Marshall,WR,CHI,19.3,2013
Stevan Ridley,RB,NE,19.4,2013
Maurice Jones-Drew,RB,LV,19.7,2013
Julio Jones,WR,ATL,22,2013
David Wilson,RB,NYG,25.1,2013
Demaryius Thomas,WR,DEN,25.5,2013
Frank Gore,RB,SF,26.2,2013
DeMarco Murray,RB,DAL,26.6,2013
Larry Fitzgerald,WR,ARI,27.9,2013
Darren Sproles,RB,PHI,28,2013
Lamar Miller,RB,MIA,28.9,2013
Randall Cobb,WR,GB,30.5,2013
Drew Brees,QB,NO,30.7,2013
Aaron Rodgers,QB,GB,31.8,2013
Darren McFadden,RB,LV,32.6,2013
Rob Gronkowski,TE,NE,33.7,2013
Andre Johnson,WR,HOU,34.2,2013
Roddy White,WR,ATL,34.4,2013
Eddie Lacy,RB,GB,37.3,2013
Victor Cruz,WR,NYG,38.8,2013
Vincent Jackson,WR,TB,41,2013
Peyton Manning,QB,DEN,42.2,2013
Dwayne Bowe,WR,KC,43.4,2013
Montee Ball,RB,DEN,43.9,2013
Jason Witten,TE,DAL,44.8,2013
Vernon Davis,TE,SF,45.3,2013
Danny Amendola,WR,NE,45.7,2013
Ryan Mathews,RB,LAC,45.7,2013
Marques Colston,WR,NO,47.2,2013
Wes Welker,WR,DEN,47.4,2013
Giovani Bernard,RB,CIN,48.1,2013
Reggie Wayne,WR,IND,50.5,2013
Chris Ivory,RB,NYJ,52.5,2013
Ahmad Bradshaw,RB,IND,52.6,2013
Daryl Richardson,RB,LA,54.2,2013
Shane Vereen,RB,NE,54.4,2013
Tony Gonzalez,TE,ATL,56,2013
Pierre Garcon,WR,WAS,56.1,2013
Hakeem Nicks,WR,IND,57.3,2013
Tom Brady,QB,NE,57.4,2013
Cam Newton,QB,CAR,58.3,2013
Jordy Nelson,WR,GB,59.9,2013
Matt Ryan,QB,ATL,61.1,2013
Antonio Brown,WR,PIT,62.8,2013
Torrey Smith,WR,BAL,63.7,2013
Rashard Mendenhall,RB,ARI,64.5,2013
DeAngelo Williams,RB,CAR,65.9,2013
Eric Decker,WR,NYJ,66.6,2013
Matthew Stafford,QB,DET,70.4,2013
DeSean Jackson,WR,WAS,71.7,2013
Colin Kaepernick,QB,SF,72.1,2013
Mike Wallace,WR,MIA,73,2013
Kyle Rudolph,TE,MIN,73.2,2013
Mark Ingram,RB,NO,75.5,2013
Steve Smith,WR,BAL,75.6,2013
BenJarvus Green-Ellis,RB,CIN,75.9,2013
Jermichael Finley,TE,GB,78.1,2013
James Jones,WR,LV,78.5,2013
Ben Tate,RB,CLE,78.6,2013
Andrew Luck,QB,IND,78.8,2013
Ronnie Hillman,RB,DEN,78.8,2013
Robert Griffin III,QB,WAS,79.3,2013
Antonio Gates,TE,LAC,80.2,2013
Tavon Austin,WR,LA,80.6,2013
Tony Romo,QB,DAL,81.9,2013
T.Y. Hilton,WR,IND,83.3,2013
Cecil Shorts,WR,JAX,83.9,2013
Anquan Boldin,WR,SF,85.7,2013
Russell Wilson,QB,SEA,89.9,2013
Miles Austin,WR,FA,90.6,2013
Bernard Pierce,RB,BAL,91.6,2013
Danny Woodhead,RB,LAC,91.6,2013
Greg Jennings,WR,MIN,91.8,2013
Jared Cook,TE,LA,92.8,2013
Greg Olsen,TE,CAR,95,2013
Steve Johnson,WR,None,95.3,2013
Seattle Defense,DST,SEA,96.1,2013
Vick Ballard,RB,IND,96.4,2013
Josh Gordon,WR,CLE,98.1,2013
Pierre Thomas,RB,NO,102.4,2013
Kenny Britt,WR,LA,103.1,2013
Eli Manning,QB,NYG,103.7,2013
San Francisco Defense,DST,SF,105.3,2013
Michael Vick,QB,NYJ,106,2013
Golden Tate,WR,DET,106.3,2013
Houston Defense,DST,HOU,109.4,2013
Brandon Myers,TE,TB,111.4,2013
Jacquizz Rodgers,RB,ATL,112.2,2013
Lance Moore,WR,PIT,112.3,2013
Chicago Defense,DST,CHI,113.6,2013
Mikel Leshoure,RB,DET,113.8,2013
Isaiah Pead,RB,LA,115,2013
DeAndre Hopkins,WR,HOU,115,2013
Owen Daniels,TE,BAL,116,2013
Andy Dalton,QB,CIN,116.6,2013
Denver Defense,DST,DEN,116.7,2013
Michael Bush,RB,FA,116.9,2013
Cincinnati Defense,DST,CIN,117.6,2013
Kenbrell Thompkins,WR,NE,122.5,2013
Vincent Brown,WR,LAC,123.5,2013
Emmanuel Sanders,WR,DEN,123.5,2013
LaMichael James,RB,SF,123.7,2013
Joseph Randle,RB,DAL,124.3,2013
Jordan Cameron,TE,CLE,124.5,2013
Ben Roethlisberger,QB,PIT,124.7,2013
Chris Givens,WR,LA,125.7,2013
Martellus Bennett,TE,CHI,126.2,2013
Jay Cutler,QB,CHI,126.4,2013
New England Defense,DST,NE,127.6,2013
Carson Palmer,QB,ARI,128,2013
Michael Floyd,WR,ARI,130.8,2013
Fred Davis,TE,FA,132.4,2013
Knowshon Moreno,RB,MIA,132.7,2013
Aaron Dobson,WR,NE,133.3,2013
Shonn Greene,RB,TEN,134.3,2013
Bilal Powell,RB,NYJ,134.6,2013
Sidney Rice,WR,SEA,135,2013
Marcel Reece,RB,LV,136.1,2013
Matt Schaub,QB,LV,136.4,2013
Joique Bell,RB,DET,137.2,2013
Joe Flacco,QB,BAL,137.4,2013
Stephen Gostkowski,K,NE,137.9,2013
Isaac Redman,RB,PIT,138.5,2013
Alshon Jeffery,WR,CHI,138.7,2013
Justin Blackmon,WR,JAX,138.7,2013
Baltimore Defense,DST,BAL,138.9,2013
Tyler Eifert,TE,CIN,142,2013
Sam Bradford,QB,LA,142.7,2013
Blair Walsh,K,MIN,143.1,2013
Zach Sudfeld,TE,NE,144.8,2013
Christine Michael,RB,SEA,146.5,2013
Tampa Bay Defense,DST,TB,147.5,2013
Ryan Broyles,WR,DET,147.5,2013
Josh Freeman,QB,NYG,147.9,2013
Brandon Pettigrew,TE,DET,148.9,2013
Roy Helu,RB,WAS,149,2013
Denarius Moore,WR,LV,149.1,2013
LeGarrette Blount,RB,PIT,149.2,2013
Rueben Randle,WR,NYG,150,2013
Daniel Thomas,RB,MIA,151,2013
Darrius Heyward-Bey,WR,PIT,151.1,2013
LA Rams Defense,DST,LA,151.3,2013
Denard Robinson,RB,JAX,151.6,2013
Matt Bryant,K,ATL,152.1,2013
Kendall Hunter,RB,SF,152.2,2013
Heath Miller,TE,PIT,152.2,2013
Alex Smith,QB,KC,153,2013
Cordarrelle Patterson,WR,MIN,153,2013
Matt Prater,K,DEN,155,2013
Coby Fleener,TE,IND,155.2,2013
Brian Hartline,WR,MIA,155.8,2013
Ryan Tannehill,QB,MIA,155.8,2013
Philip Rivers,QB,LAC,157.6,2013
Pittsburgh Defense,DST,PIT,157.7,2013
Arizona Defense,DST,ARI,157.9,2013
Green Bay Defense,DST,GB,159.2,2013
Sebastian Janikowski,K,LV,160.6,2013
EJ Manuel,QB,None,161.6,2013
Phil Dawson,K,SF,162,2013
Greg Zuerlein,K,LA,162.2,2013
Cleveland Defense,DST,CLE,163.7,2013
Dallas Defense,DST,DAL,165.7,2013
Garrett Hartley,K,NO,168.8,2013
Justin Tucker,K,BAL,169.6,2013
Dan Bailey,K,DAL,170.5,2013
Randy Bullock,K,HOU,171.3,2013
David Akers,K,DET,171.6,2013
Kai Forbath,K,WAS,171.8,2013
Mason Crosby,K,GB,172.2,2013
LeSean McCoy,RB,PHI,2,2014
Jamaal Charles,RB,KC,2.5,2014
Calvin Johnson,WR,DET,4.1,2014
Matt Forte,RB,CHI,4.2,2014
Adrian Peterson,RB,MIN,5.3,2014
Eddie Lacy,RB,GB,6.2,2014
Demaryius Thomas,WR,DEN,6.7,2014
Jimmy Graham,TE,NO,7.8,2014
Dez Bryant,WR,DAL,9.1,2014
Montee Ball,RB,DEN,10.4,2014
Peyton Manning,QB,DEN,10.4,2014
A.J. Green,WR,CIN,11.5,2014
Julio Jones,WR,ATL,13.3,2014
Brandon Marshall,WR,CHI,13.9,2014
DeMarco Murray,RB,DAL,14.2,2014
Marshawn Lynch,RB,SEA,15.9,2014
Giovani Bernard,RB,CIN,16.7,2014
Jordy Nelson,WR,GB,17.8,2014
Antonio Brown,WR,PIT,18.4,2014
Drew Brees,QB,NO,19.1,2014
Doug Martin,RB,TB,20.9,2014
Alshon Jeffery,WR,CHI,21.9,2014
Aaron Rodgers,QB,GB,22.2,2014
Andre Ellington,RB,ARI,22.5,2014
Randall Cobb,WR,GB,25,2014
Arian Foster,RB,HOU,25.8,2014
Julius Thomas,TE,DEN,26.2,2014
Keenan Allen,WR,LAC,28,2014
Shane Vereen,RB,NE,28.5,2014
Rob Gronkowski,TE,NE,29.7,2014
LeVeon Bell,RB,PIT,30.4,2014
Zac Stacy,RB,LA,32.5,2014
Roddy White,WR,ATL,33.1,2014
Reggie Bush,RB,DET,33.3,2014
Alfred Morris,RB,WAS,34.2,2014
Vincent Jackson,WR,TB,34.7,2014
Cordarrelle Patterson,WR,MIN,36.2,2014
Andre Johnson,WR,HOU,36.4,2014
Rashad Jennings,RB,NYG,38.4,2014
Pierre Garcon,WR,WAS,40.4,2014
Emmanuel Sanders,WR,DEN,40.5,2014
Larry Fitzgerald,WR,ARI,42,2014
C.J. Spiller,RB,None,42.1,2014
Toby Gerhart,RB,JAX,42.8,2014
Victor Cruz,WR,NYG,43.8,2014
Joique Bell,RB,DET,45.9,2014
Michael Floyd,WR,ARI,46.3,2014
Julian Edelman,WR,NE,48.3,2014
Matthew Stafford,QB,DET,48.4,2014
Michael Crabtree,WR,SF,49.8,2014
Ryan Mathews,RB,LAC,50.8,2014
Jordan Cameron,TE,CLE,51,2014
Ray Rice,RB,BAL,52.6,2014
Pierre Thomas,RB,NO,55,2014
T.Y. Hilton,WR,IND,55.2,2014
Andrew Luck,QB,IND,55.2,2014
Frank Gore,RB,SF,56.3,2014
Torrey Smith,WR,BAL,56.4,2014
Ben Tate,RB,CLE,58.3,2014
Chris Johnson,RB,NYJ,60,2014
Tom Brady,QB,NE,61.4,2014
DeSean Jackson,WR,WAS,61.7,2014
Kendall Wright,WR,TEN,61.8,2014
Vernon Davis,TE,SF,62.8,2014
Jeremy Maclin,WR,PHI,64.3,2014
Marques Colston,WR,NO,65.4,2014
Bishop Sankey,RB,TEN,66.1,2014
Jason Witten,TE,DAL,66.6,2014
Matt Ryan,QB,ATL,67.6,2014
Wes Welker,WR,DEN,69.1,2014
Danny Woodhead,RB,LAC,70,2014
Brandin Cooks,WR,NO,72.8,2014
Maurice Jones-Drew,RB,LV,73,2014
Trent Richardson,RB,IND,73.2,2014
Kyle Rudolph,TE,MIN,73.2,2014
Golden Tate,WR,DET,73.4,2014
Nick Foles,QB,PHI,73.9,2014
Mike Wallace,WR,MIA,76.1,2014
Darren Sproles,RB,PHI,77.6,2014
Reggie Wayne,WR,IND,79.9,2014
Jordan Reed,TE,WAS,81.4,2014
Jay Cutler,QB,CHI,81.8,2014
Eric Decker,WR,NYJ,83.3,2014
Kelvin Benjamin,WR,CAR,83.7,2014
Tony Romo,QB,DAL,85.5,2014
Knowshon Moreno,RB,MIA,85.7,2014
Terrance Williams,WR,DAL,86.4,2014
Steven Jackson,RB,ATL,86.9,2014
Lamar Miller,RB,MIA,87.7,2014
Greg Olsen,TE,CAR,88.2,2014
Seattle Defense,DST,SEA,90.5,2014
Dennis Pitta,TE,BAL,91.4,2014
Carlos Hyde,RB,SEA,91.5,2014
Bernard Pierce,RB,BAL,94.5,2014
Cam Newton,QB,CAR,94.5,2014
Justin Hunter,WR,TEN,95,2014
Jeremy Hill,RB,LV,96.2,2014
Zach Ertz,TE,PHI,97.5,2014
Mike Evans,WR,TB,99.4,2014
Mark Ingram,RB,NO,99.5,2014
Rueben Randle,WR,NYG,100.9,2014
Riley Cooper,WR,PHI,100.9,2014
Stevan Ridley,RB,NE,101.6,2014
Philip Rivers,QB,LAC,102.3,2014
Devonta Freeman,RB,ATL,102.9,2014
Colin Kaepernick,QB,SF,103.6,2014
Sammy Watkins,WR,None,104.9,2014
Russell Wilson,QB,SEA,106.1,2014
Dwayne Bowe,WR,KC,108.2,2014
DeAndre Hopkins,WR,HOU,109,2014
Carolina Defense,DST,CAR,109.7,2014
Robert Griffin III,QB,WAS,109.9,2014
Terrance West,RB,CLE,110,2014
Danny Amendola,WR,NE,113,2014
Andre Williams,RB,NYG,113.4,2014
Hakeem Nicks,WR,IND,115,2014
Anquan Boldin,WR,SF,115.3,2014
DeAngelo Williams,RB,CAR,116.4,2014
Martellus Bennett,TE,CHI,117.4,2014
San Francisco Defense,DST,SF,118.3,2014
Darren McFadden,RB,LV,118.8,2014
Markus Wheaton,WR,PIT,119,2014
Steve Smith,WR,BAL,121,2014
Jordan Matthews,WR,PHI,121.4,2014
New England Defense,DST,NE,121.5,2014
Andy Dalton,QB,CIN,122.6,2014
Cecil Shorts,WR,JAX,124.2,2014
Ahmad Bradshaw,RB,IND,124.8,2014
Jarrett Boykin,WR,GB,127,2014
Cincinnati Defense,DST,CIN,128.4,2014
Ben Roethlisberger,QB,PIT,128.4,2014
Khiry Robinson,RB,NO,129.4,2014
Denver Defense,DST,DEN,129.5,2014
Charles Clay,TE,MIA,130.1,2014
LA Rams Defense,DST,LA,132.6,2014
Kenny Britt,WR,LA,132.7,2014
Lance Dunbar,RB,DAL,133.1,2014
Greg Jennings,WR,MIN,133.2,2014
Carson Palmer,QB,ARI,133.7,2014
Brian Hartline,WR,MIA,136.4,2014
Ladarius Green,TE,LAC,137.1,2014
Kenny Stills,WR,NO,137.5,2014
Andrew Hawkins,WR,CLE,137.8,2014
LeGarrette Blount,RB,PIT,138.1,2014
Heath Miller,TE,PIT,138.1,2014
Shonn Greene,RB,TEN,139.1,2014
Chris Ivory,RB,NYJ,142.4,2014
Arizona Defense,DST,ARI,143.1,2014
Jonathan Stewart,RB,CAR,143.3,2014
Marqise Lee,WR,JAX,143.6,2014
Kansas City Defense,DST,KC,144.7,2014
Stephen Gostkowski,K,NE,144.8,2014
Tavon Austin,WR,LA,145.5,2014
Travis Kelce,TE,KC,146.2,2014
Ryan Tannehill,QB,MIA,147.6,2014
Dexter McCluster,RB,TEN,148.8,2014
Steven Hauschka,K,SEA,150.9,2014
Christine Michael,RB,SEA,151.3,2014
Knile Davis,RB,KC,151.4,2014
Aaron Dobson,WR,NE,151.7,2014
Cody Latimer,WR,DEN,151.8,2014
Josh McCown,QB,TB,153.4,2014
Houston Defense,DST,HOU,154,2014
Antonio Gates,TE,LAC,154.1,2014
Tim Wright,TE,NE,154.7,2014
Benny Cunningham,RB,LA,154.9,2014
James White,RB,NE,154.9,2014
Eric Ebron,TE,DET,156,2014
Justin Tucker,K,BAL,156,2014
James Starks,RB,GB,157.2,2014
Ronnie Hillman,RB,DEN,157.5,2014
James Jones,WR,LV,158.4,2014
Kenbrell Thompkins,WR,NE,158.6,2014
Doug Baldwin,WR,SEA,160.5,2014
Mason Crosby,K,GB,160.8,2014
Dan Bailey,K,DAL,160.9,2014
New Orleans Defense,DST,NO,161,2014
Miles Austin,WR,CLE,161.5,2014
